Format
filename:hash | version1, version1.2, etc...
libevent-2.1.so.7:0b1547ae7f3e3840cdfe18b066988b10 | 11.0.1 , 11.0.10 , 11.0.11 , 11.0.13 , 11.0.14 , 11.0.15 , 11.0.2 , 11.0.3 , 11.0.4 , 11.0.6 , 11.0.7 , 11.0.9 , 11.0 , 11.0a10 , 11.0a9 , 11.5.1 , 11.5.2 , 11.5.4 , 11.5.5 , 11.5.6 , 11.5.7 , 11.5.8 , 11.5 , 11.5a1 , 11.5a11 , 11.5a12 , 11.5a13 , 11.5a2 , 11.5a4 , 11.5a6 , 11.5a8 , 11.5a9 , 12.0a1 , 12.0a2 , 12.0a3
libssl.so.1.1:4c533ee1dd3abff9ef30687e626914ab | 11.0.1 , 11.0.2 , 11.0 , 11.0a10 , 11.0a9 , 11.5a1
libstdc++.so.6:4c6bfa091df6d5756eca78e06daec240 | 11.0.1 , 11.0.10 , 11.0.11 , 11.0.13 , 11.0.14 , 11.0.15 , 11.0.2 , 11.0.3 , 11.0.4 , 11.0.6 , 11.0.7 , 11.0.9 , 11.0 , 11.0a10 , 11.0a9 , 11.5.1 , 11.5.2 , 11.5.4 , 11.5.5 , 11.5.6 , 11.5.7 , 11.5.8 , 11.5 , 11.5a1 , 11.5a11 , 11.5a12 , 11.5a13 , 11.5a2 , 11.5a4 , 11.5a6 , 11.5a8 , 11.5a9 , 12.0a1 , 12.0a2 , 12.0a3
tor:e9f12c7df110661a9c1a9b051c2e4953 | 11.0.1 , 11.0.2 , 11.0
libcrypto.so.1.1:659181dec62278421603fd5ca3972e42 | 11.0.10 , 11.0.11 , 11.0.9 , 11.5a8 , 11.5a9
libssl.so.1.1:8166a6ee85614f629dc13afae1486d39 | 11.0.10 , 11.0.11 , 11.0.9 , 11.5a8 , 11.5a9
tor:105f5552ac91a47a2174705d19c70cae | 11.0.10 , 11.0.11 , 11.0.9
libcrypto.so.1.1:072eec9bddef3d6689b393a0e7e097a9 | 11.0.13 , 11.0.14 , 11.0.15 , 11.5a11 , 11.5a12 , 11.5a13
libssl.so.1.1:c25253dac21ada75ad4ef6074a4d7522 | 11.0.13 , 11.0.14 , 11.0.15 , 11.5a11 , 11.5a12 , 11.5a13
tor:caedb7750a6889d27cc1e9105ad56f9e | 11.0.13 , 11.0.14 , 11.5a11 , 11.5a12
tor:57b8761647b0791c5f051f5e5a50ed2d | 11.0.15 , 11.5a13
libcrypto.so.1.1:6634031c0a997c719c4e67d7fc1f9080 | 11.0.3 , 11.0.4 , 11.0.6 , 11.0.7 , 11.5a2 , 11.5a4 , 11.5a6
libssl.so.1.1:05ca31ad5e028393750bcef6f92b4600 | 11.0.3 , 11.0.4 , 11.0.6 , 11.0.7 , 11.5a2 , 11.5a4 , 11.5a6
tor:0531c75d809a065f88a4688d479045be | 11.0.3 , 11.0.4 , 11.0.6
tor:017d5f37429837ee9fa05e9c4c141835 | 11.0.7
tor:86335c0256ac0403cc6f3ef1b1752a12 | 11.0a10 , 11.5a1
tor:31d882180ab9e576d767c27dfb30c1b4 | 11.0a5
tor:74fbf66ae9f9a51d3a8e607919e7963b | 11.0a7
tor:0986101d75f56c0458a0c567f63d1c13 | 11.0a9
libcrypto.so.1.1:bc9c2b18d3c029a400b093e62a7a232c | 11.5.1 , 11.5.2 , 11.5.4 , 11.5.5 , 11.5.6 , 11.5.7 , 11.5 , 12.0a1 , 12.0a2 , 12.0a3
libssl.so.1.1:c7e5366f46c017066e5c4c734c764381 | 11.5.1 , 11.5.2 , 11.5.4 , 11.5.5 , 11.5.6 , 11.5.7 , 11.5 , 12.0a1 , 12.0a2 , 12.0a3
tor:3511c2623542768e26aa32158d75ff68 | 11.5.1 , 11.5 , 12.0a1
tor:4677e2174f1a67149578ab7b47485f70 | 11.5.2 , 11.5.4 , 11.5.5 , 11.5.6 , 11.5.7 , 12.0a2 , 12.0a3
libcrypto.so.1.1:7c310636f32dc6d76a951dc35d022ca3 | 11.5.8
libssl.so.1.1:df92ef01b7458d9f6946ee4c5922f3f4 | 11.5.8
tor:20948a29c9095e658eeb66ceb0303df3 | 11.5.8
tor:6d13d8e10d7d9781ae7b01ff9756b4d3 | 11.5a2 , 11.5a4
tor:de3d118bed4dc2769b5f7bd9c37ef197 | 11.5a6
tor:fc71581bec48ac9faccab2184097007c | 11.5a8
tor:002b4320f7640e12da2c3d514a5c2632 | 11.5a9
libcrypto.so.1.0.0:666efc40e007c8b717a5995543fde9bd | 4.0-alpha-1 , 4.0-alpha-2 , 4.0-alpha-3 , 4.0.1 , 4.0.2 , 4.0.3 , 4.0 , 4.5-alpha-1 , 4.5-alpha-2 , 4.5a3
libevent-2.0.so.5:1104dfd775e05193162a9aa45aaabcf2 | 4.0-alpha-1 , 4.0-alpha-2 , 4.0-alpha-3 , 4.0.1 , 4.0.2 , 4.0.3 , 4.0.4 , 4.0.5 , 4.0.6 , 4.0.7 , 4.0.8 , 4.0 , 4.5-alpha-1 , 4.5-alpha-2 , 4.5.1 , 4.5.2 , 4.5.3 , 4.5 , 4.5a3 , 4.5a4 , 4.5a5 , 5.0.1 , 5.0.2 , 5.0.3 , 5.0.4 , 5.0.5 , 5.0.6 , 5.0.7 , 5.0 , 5.0a1 , 5.0a2 , 5.0a3 , 5.0a4 , 5.5a1 , 5.5a2
libgmp.so:c425feb07e412405f4068da8e2e17c11 | 4.0-alpha-1 , 4.0-alpha-2 , 4.0-alpha-3 , 4.0.1 , 4.0.2 , 4.0.3 , 4.0.4 , 4.0.5 , 4.0.6 , 4.0.7 , 4.0.8 , 4.0 , 4.5-alpha-1
libgmp.so.10:c425feb07e412405f4068da8e2e17c11 | 4.0-alpha-1 , 4.0-alpha-2 , 4.0-alpha-3 , 4.0.1 , 4.0.2 , 4.0.3 , 4.0.4 , 4.0.5 , 4.0.6 , 4.0.7 , 4.0.8 , 4.0 , 4.5-alpha-1
libgmp.so.10.1.3:c425feb07e412405f4068da8e2e17c11 | 4.0-alpha-1 , 4.0-alpha-2 , 4.0-alpha-3 , 4.0.1 , 4.0.2 , 4.0.3 , 4.0.4 , 4.0.5 , 4.0.6 , 4.0.7 , 4.0.8 , 4.0 , 4.5-alpha-1
libgmpxx.so:8b5d7f9602baff79c0773e774a10dbcd | 4.0-alpha-1 , 4.0-alpha-2 , 4.0-alpha-3 , 4.0.1 , 4.0.2 , 4.0.3 , 4.0.4 , 4.0.5 , 4.0.6 , 4.0.7 , 4.0.8 , 4.0 , 4.5-alpha-1
libgmpxx.so.4:8b5d7f9602baff79c0773e774a10dbcd | 4.0-alpha-1 , 4.0-alpha-2 , 4.0-alpha-3 , 4.0.1 , 4.0.2 , 4.0.3 , 4.0.4 , 4.0.5 , 4.0.6 , 4.0.7 , 4.0.8 , 4.0 , 4.5-alpha-1
libgmpxx.so.4.3.3:8b5d7f9602baff79c0773e774a10dbcd | 4.0-alpha-1 , 4.0-alpha-2 , 4.0-alpha-3 , 4.0.1 , 4.0.2 , 4.0.3 , 4.0.4 , 4.0.5 , 4.0.6 , 4.0.7 , 4.0.8 , 4.0 , 4.5-alpha-1
libssl.so.1.0.0:6220326e901e59e53da0a717d5d7d051 | 4.0-alpha-1 , 4.0-alpha-2 , 4.0-alpha-3 , 4.0.1 , 4.0.2 , 4.0.3 , 4.0 , 4.5-alpha-1 , 4.5-alpha-2 , 4.5a3
tor:39536801a4ae22cdbf1c82236fab12f5 | 4.0-alpha-1 , 4.0-alpha-2
tor:908aa7bcb4528b89506580f97415613b | 4.0-alpha-3 , 4.0
libstdc++.so.6:abb07522accc4d4fedecd728db76135a | 4.0.1 , 4.0.2 , 4.0.3 , 4.0.4 , 4.0.5 , 4.0.6 , 4.0.7 , 4.0.8 , 4.0 , 4.5-alpha-1 , 4.5-alpha-2 , 4.5.1 , 4.5.2 , 4.5.3 , 4.5 , 4.5a3 , 4.5a4 , 4.5a5 , 5.0a1 , 5.0a2
tor:a737804f4fa0004000b16def08fc242a | 4.0.1 , 4.0.2 , 4.0.3
libcrypto.so.1.0.0:ec2b311234aeb38655ddd5953eedef0a | 4.0.4 , 4.0.5 , 4.5a4
libssl.so.1.0.0:1e6a113b0150c5514e742a3c7fc3f6a5 | 4.0.4 , 4.0.5 , 4.5a4
tor:ffd305e5f7ea247f6024c804c0dad896 | 4.0.4
tor:f3c26d409666ea46a27186cf31417fcb | 4.0.5
libcrypto.so.1.0.0:f97253d16638ff9e947415dd49d50eab | 4.0.6 , 4.0.7 , 4.0.8 , 4.5.1 , 4.5 , 4.5a5 , 5.0a1
libssl.so.1.0.0:9f005b9026fd014f2eb86820b52aa257 | 4.0.6 , 4.0.7 , 4.0.8 , 4.5.1 , 4.5 , 4.5a5 , 5.0a1
tor:c0dd6b942562c7121d75a9dd37d9d7d0 | 4.0.6
tor:ae005d4ed75dd98aba5f566755631f15 | 4.0.7 , 4.0.8
tor:f04596fd53d7f2a42216b22173843f5b | 4.5-alpha-1 , 4.5-alpha-2
libgmp.so.10:f7c877a57199a31e74f282c62f5a1a1c | 4.5-alpha-2 , 4.5.1 , 4.5.2 , 4.5.3 , 4.5 , 4.5a3 , 4.5a4 , 4.5a5 , 5.0.1 , 5.0.2 , 5.0.3 , 5.0.4 , 5.0.5 , 5.0.6 , 5.0.7 , 5.0 , 5.0a1 , 5.0a2 , 5.0a3 , 5.0a4 , 5.5.1 , 5.5.2 , 5.5.3 , 5.5.4 , 5.5.5 , 5.5 , 5.5a1 , 5.5a2 , 5.5a3 , 5.5a4 , 5.5a5 , 5.5a6
tor:1897caabecf7bcee3957d32395ab474e | 4.5.1 , 4.5 , 5.0a1
libcrypto.so.1.0.0:69b6ef870a111405e540b05b2ddfd976 | 4.5.2 , 5.0a2
libssl.so.1.0.0:ea5b5b785fab1958e2acb4e86d8cae68 | 4.5.2 , 5.0a2
tor:7328bdad207c429edf3acc832414a8b4 | 4.5.2
libcrypto.so.1.0.0:c154d63e79dd4bed991d8bea97c79a36 | 4.5.3 , 5.0a3
libssl.so.1.0.0:faaf1d686b07fa3db698d5c5362a4a7a | 4.5.3 , 5.0a3
tor:cc79a6e70d6bd918ab2a1f1012af5067 | 4.5.3
tor:0cc28ed194285889e502d5f450866f9e | 4.5a3
tor:786a626214567c2f25f1c75e4a391632 | 4.5a4
tor:1c0c8dc5b5e6a0a71205baf5bbef9d5a | 4.5a5
libcrypto.so.1.0.0:9d65006373b9f4289de656cf6ed71d71 | 5.0.1 , 5.0.2 , 5.0.3 , 5.0.4 , 5.0 , 5.0a4 , 5.5a1 , 5.5a2 , 5.5a3 , 5.5a4
libssl.so.1.0.0:4cdd9a379572f6d6b844e2e47bc9c8c2 | 5.0.1 , 5.0.2 , 5.0.3 , 5.0.4 , 5.0 , 5.0a4 , 5.5a1 , 5.5a2 , 5.5a3 , 5.5a4
libstdc++.so.6:a31adfedb2082bacd91c6afb3626e824 | 5.0.1 , 5.0.2 , 5.0.3 , 5.0.4 , 5.0.5 , 5.0.6 , 5.0.7 , 5.0 , 5.0a3 , 5.0a4 , 5.5.1 , 5.5.2 , 5.5.3 , 5.5.4 , 5.5.5 , 5.5 , 5.5a1 , 5.5a2 , 5.5a3 , 5.5a4 , 5.5a5 , 5.5a6
tor:08cc32128a0be02262b45462ca544f8a | 5.0.1 , 5.0.2 , 5.0.3 , 5.0.4 , 5.0
libcrypto.so.1.0.0:a53b2d7bdf1c8b60beef4f6d0b230a1a | 5.0.5 , 5.0.6 , 5.0.7 , 5.5.1 , 5.5.2 , 5.5 , 5.5a5 , 5.5a6
libssl.so.1.0.0:5540359c39b9adcc08e75feb2c56bba2 | 5.0.5 , 5.0.6 , 5.0.7 , 5.5.1 , 5.5.2 , 5.5 , 5.5a5 , 5.5a6
